Newspaper Title,System ID,NLP,JISC,Normalised Title,Abbr,StartD,StartM,StartY,EndD,EndM,EndY
Daily News,13910025,51,JISC1,Daily News,DNLN,21,Jan,1846,31,Dec,1900
Derby Mercury,13906383,52,JISC1,Derby Mercury,DYMR,2,Jan,1800,31,Dec,1900
Drewry's Derby Mercury,13906382,189,JISC2,Derby Mercury,DYMR,30,Mar,1732,4,Oct,1787
Derby Mercury,13906383,52,JISC2,Derby Mercury,DYMR,25,Dec,1788,26,Dec,1900
Dundee Courier,13943587,160,JISC2,Dundee Courier,DUCR,2,Jan,1844,19,Apr,1861
Dundee Courier and Daily Argus,13909376,161,JISC2,Dundee Courier,DUCR,22,Apr,1861,14,Apr,1862
"Dundee Courier & Argus, The",13909377,162,JISC2,Dundee Courier,DUCR,15,Apr,1862,27,Feb,1873
"Dundee Courier & Argus and Northern Warder, The",13909378,163,JISC2,Dundee Courier,DUCR,28,Feb,1873,11,Mar,1873
"Dundee Courier & Argus, The",13909379,269,JISC2,Dundee Courier,DUCR,12,Mar,1873,15,Nov,1899
"Courier and Argus, The",13909380,164,JISC2,Dundee Courier,DUCR,16,Nov,1899,29,Dec,1900
"Era, The",13924614,53,JISC1,"Era, The",ERLN,30,Sep,1838,29,Dec,1900
"Essex Standard, The",13891100,165,JISC2,Essex Standard,ESSD,7,Jan,1831,16,Jul,1892
"Essex County Standard West Suffolk Gazette, and Eastern Counties Advertiser, The",13891101,166,JISC2,Essex Standard,ESSD,23,Jul,1892,29,Dec,1900
Examiner,13901239,54,JISC1,Examiner,EXLN,3,Jan,1808,26,Feb,1881
"Public Register, or, Freeman's Journal",13890955,55,JISC1,Freeman's Journal,FRJO,1,Jan,1800,27,Apr,1802
Freeman's Journal and Daily Commercial Advertiser,13890956,56,JISC1,Freeman's Journal,FRJO,1,Jan.,1820,31,Dec,1900
"Genedl Gymraeg, Y",13905399,59,JISC1,Genedl,GNDL,8,Feb,1877,31,Dec,1900
Glasgow Herald,13943715,60,JISC1,Glasgow Herald,GWHD,4,Feb,1820,31,Dec,1900
Goleuad,13905401,58,JISC1,Goleuad,GLAD,30,Oct,1869,31,Dec,1900
Graphic,13904695,57,JISC1,Graphic,GCLN,1,Jan,1870,29,Dec,1900
Southampton Herald and Isle of Wight Gazette,13895050,182,JISC2,Hampshire Advertiser,SOHD,28,Jul,1823,10,Jan,1825
"Southampton Town & County Herald, etc,",13895051,492,JISC2,Hampshire Advertiser,SOHD,17,Jan,1825,24,Sep,1827
"Hampshire Advertiser, Royal Yacht Club Gazette, etc.",13895052,493,JISC2,Hampshire Advertiser,SOHD,29,Sep,1827,15,Oct,1831
"Hampshire Advertiser & Salisbury Guardian , etc.",13895053,494,JISC2,Hampshire Advertiser,SOHD,22,Oct,1831,28,Jan,1860
"Hampshire Advertiser, etc., The",13895054,495,JISC2,Hampshire Advertiser,SOHD,4,Feb,1860,29,Dec,1900
Portsmouth Telegraph or Mottley's Naval and Military Journal,13924136,66,JISC1,Hampshire/Portsmouth Telegraph,HPTE,1,Jan,1800,8,Feb,1802
Mottley's Telegraph and Portsmouth Gazette,13924137,67,JISC1,Hampshire/Portsmouth Telegraph,HPTE,15,Feb,1802,22,Feb,1802
Hampshire Telegraph & Portsmouth Gazette,13924138,68,JISC1,Hampshire/Portsmouth Telegraph,HPTE,1,Mar,1802,4,Jul,1803
"Hampshire Telegraph and Sussex Chronicle, etc",13924139,69,JISC1,Hampshire/Portsmouth Telegraph,HPTE,11,Jul,1803,7,Oct,1899
Hampshire Telegraph and Naval Chronicle,13924140,70,JISC1,Hampshire/Portsmouth Telegraph,HPTE,14,Oct,1899,31,Dec,1900
"Huddersfield Chronicle and West Yorkshire Advertiser, The",13897937,167,JISC2,Huddersfield Chronicle,HUCE,6,Apr,1850,31,Dec,1900
Hull Packet,13898001,61,JISC1,Hull Packet,HLPA,1,Jan,1800,30,Jun,1807
"Hull Packet and Original Weekly Commercial, Literary and General Advertiser, The",13898002,62,JISC1,Hull Packet,HLPA,7,Jul,1807,6,Nov,1827
"Hull Packet and Humber Mercury, The",13898003,63,JISC1,Hull Packet,HLPA,13,Nov,1827,5,Apr,1833
"Hull Packet, The",13898004,64,JISC1,Hull Packet,HLPA,12,Apr,1833,18,Nov,1842
"Hull Packet and East Riding Times, The",13898005,65,JISC1,Hull Packet,HLPA,25,Nov,1842,26,Feb,1886
Illustrated Police News,13911863,72,JISC1,Illustrated Police News,IPNW,5,Jan,1867,29,Dec,1900
Ipswich Journal,13923465,71,JISC1,Ipswich Journal,IPJO,1,Jan,1800,31,Dec,1900
"Ipswich Journal, The",13929307,71,JISC2,"Ipswich Journal, The",IPJO,19,Nov,1720,28,Dec,1799
"Isle of Man Times and General Advertiser, The",13906501,168,JISC2,Isle of Man Times,IMTS,17,Jul,1869,5,May,1900
"Isle of Man Weekly Times, The",13906502,169,JISC2,Isle of Man Times,IMTS,12,May,1900,29,Dec,1900
Isle of Wight Observer,13907456,170,JISC2,Isle of Wight Observer,IWOR,1,Jan,1853,29,Dec,1900
Jackson's Oxford Journal,13924043,73,JISC1,Jackson's Oxford Journal,JOJL,1,Jan,1800,28,May,1898
Jackson's Oxford Journal,13924045,75,JISC1,Jackson's Oxford Journal,JOJL,10,Sep,1898,31,Dec,1900
Oxford Journal and County News,13924044,91,JISC1,Jackson's Oxford Journal,JOJL,4,Jun,1898,3,Sep,1898
Jackson's Oxford Journal,13924043,73,JISC2,Jackson's Oxford Journal,JOJL,5,May,1753,28,Dec,1799
"Lancaster Gazetteer, and General Advertiser for Lancashire, Westmoreland, etc. The,",13898238,171,JISC2,Lancaster Gazette,LAGE,20,Jun,1801,24,Dec,1803
"Lancaster gazette, etc. The,",13898239,488,JISC2,Lancaster Gazette,LAGE,31,Dec,1803,30,Jun,1894
"Leeds Intelligencer, The",13889898,236,JISC2,Leeds Intelligencer,LSIR,2,Jul,1754,21,Aug,1809
Wright's Leeds Intelligencer,13889899,268,JISC2,Leeds Intelligencer,LSIR,28,Aug,1809,28,Dec,1818
"Leeds Intelligencer and Yorkshire General Advertiser, The",13889900,193,JISC2,Leeds Intelligencer,LSIR,4,Jan,1819,3,Jun,1866
Leeds Mercury,13898320,76,JISC1,Leeds Mercury,LEMR,3,Jan,1807,31,Dec,1900
"Leicester Chronicle: or, Commercial and Agricultural Advertiser, The",13893741,172,JISC2,Leicester Chronicle,LECH,6,Jan,1827,24,Sep,1864
Leicester Chronicle and the Leicestershire Mercury,13893742,173,JISC2,Leicester Chronicle,LECH,1,Oct,1864,29,Dec,1900
Liverpool Mercury,13898683,81,JISC1,Liverpool Mercury,LVMR,5,Jul,1811,31,Dec,1900
Lloyd's Illustrated Newspaper,13912159,77,JISC1,Lloyd's Illustrated Newspaper,LINP,27,Nov,1842,8,Jan,1843
Lloyd's Weekly London Newspaper,13912160,78,JISC1,Lloyd's Illustrated Newspaper,LINP,15,Jan,1843,27,Aug,1848
Lloyd's Weekly Newspaper,13912161,79,JISC1,Lloyd's Illustrated Newspaper,LINP,14,Jan,1849,31,Dec,1900
London Dispatch,13912229,80,JISC1,London Dispatch,LNDH,17,Sep,1836,3,Oct,1839
Manchester Times,13899322,501,JISC1,Manchester Times,MRTM,17,Oct,1828,23,May,1829
"Manchester Times and Gazette, The",13899323,83,JISC1,Manchester Times,MRTM,30,May,1829,26,Aug,1848
Manchester Times and Manchester and Salford Advertiser and Chronicle,13899324,84,JISC1,Manchester Times,MRTM,2,Sep,1848,28,Oct,1848
Morning Chronicle,13915254,82,JISC1,Morning Chronicle,MCLN,1,Jan,1801,2,Mar,1865
"Morning Post and Gazeteer, The",13915345,175,JISC2,Morning Post,MOPT,1,Jan,1801,1,Jan,1803
"Morning Post, The",13915346,174,JISC2,Morning Post,MOPT,8,Jan,1803,31,Dec,1900
Newcastle Courant,13943623,74,JISC1,Newcastle Courant,NECT,1,Jan,1803,27,Jun,1884
"Newcastle Weekly Courant, The",13899719,100,JISC1,Newcastle Courant,NECT,4,Jul,1884,29,Dec,1900
North Wales Chronicle,13943606,85,JISC1,North Wales Chronicle,NRWC,4,Oct,1827,29,Dec,1900
Northern Echo,13891242,86,JISC1,Northern Echo,NREC,1,Jan,1870,31,Dec,1900
Northern Liberator,13899758,87,JISC1,Northern Liberator,NRLR,21,Oct,1837,23,May,1840
"Northern Liberator and Champion, The",13899759,101,JISC1,Northern Liberator,NRLR,30,May,1840,19,Dec,1840
Northern Star and Leeds General Advertiser,13898344,88,JISC1,Northern Star,NRSR,6,Jan,1838,23,Nov,1844
"Star and National Trades' Journal, The",13898346,98,JISC1,Northern Star,NRSR,20,Mar,1852,1,May,1852
"Star of Freedom, The",13898347,99,JISC1,Northern Star,NRSR,8,May,1852,27,Nov,1852
"Northern Star and National Trades' Journal, The",13898345,102,JISC1,Northern Star,NRSR,30,Nov,1844,13,Mar,1852
Nottinghamshire Guardian and Midland Counties Advertiser,13900122,176,JISC2,Nottinghamshire Guardian,NOGN,4,Jan,1849,29,Dec,1900
"Odd Fellow, The",13926491,89,JISC1,Odd Fellow,ODFW,5,Jan,1839,10,Dec,1842
"Operative, The",13930202,90,JISC1,Operative,OPTE,4,Nov,1838,30,Jun,1839
"Pall Mall Gazette, The",13912871,92,JISC1,Pall Mall Gazette,PMGZ,7,Feb,1865,31,Dec,1900
"Poor Man's Guardian, The",13912699,93,JISC1,Poor Man's Guardian,PMGU,9,Jul,1831,26,Dec,1835
Preston Chronicle and Lancashire Advertiser,13900633,94,JISC1,Preston Chronicle,PNCH,10,Feb,1844,30,Dec,1893
Reynolds's Weekly Newspaper,13915757,95,JISC1,Reynold's Newspaper,RDNP,5,May,1850,9,Feb,1851
Reynolds's Newspaper,13915758,96,JISC1,Reynold's Newspaper,RDNP,16,Feb,1851,30,Dec,1900
"Royal Cornwall Gazette & Falmouth Packet, etc., The",13908876,179,JISC2,Royal Cornwall Gazette,COGE,2,Jul,1803,10,Dec,1803
"Royal Cornwall Gazette, Falmouth Packet & Plymouth Journal",13908877,177,JISC2,Royal Cornwall Gazette,COGE,16,Mar,1811,29,Aug,1835
"Cornwall Royal Gazette, Falmouth Packet and Plymouth Journal, The",13908878,178,JISC2,Royal Cornwall Gazette,COGE,4,Sep,1835,29,Dec,1848
"Royal Cornwall Gazette, etc.",13908879,180,JISC2,Royal Cornwall Gazette,COGE,5,Jan,1849,27,Dec,1900
"Sheffield Independent: and Commercial Register, The",13907843,490,JISC2,Sheffield Indenpdent,SHIN,11,Dec,1819,2,Dec,1820
"Sheffield Independent, and Yorkshire & Derbyshire Advertiser, The",13907844,491,JISC2,Sheffield Independent,SHIN,9,Dec,1820,16,Mar,1839
Sheffield & Rotherham Independent,13907845,181,JISC2,Sheffield Independent,SHIN,23,Mar,1839,30,Dec,1900
Southern Star,13916087,97,JISC1,Southern Star,SNSR,19,Jan,1840,12,Jul,1840
"Standard, The",13890794,183,JISC2,"Standard, The",SDLN,21,May,1827,31,Dec,1900
"Star, The   (Guernsey)",13907577,184,JISC2,Star (Guernsey),STGY,15,Jul,1869,29,Dec,1900
Trewman's Exeter Flying Post,13906716,103,JISC1,Trewman's Exeter Flying Post,TEFP,1,Jan,1807,29,Dec,1900
Western Mail,13890612,104,JISC1,Western Mail,WMCF,1,May,1869,31,Dec,1900
Berrow's Worcester Journal,13943616,150,JISC2,Worcester Journal,WOJL,3,Jan,1822,26,Dec,1896
"Wrexham and Denbigh Weekly Advertiser, and Cheshire, Shropshire, Denbighshire, Flintshire, and North Wales Chronicle",13901374,185,JISC2,Wrexham Advertiser,WRWA,11,Mar,1854,22,Aug,1857
Wrexam Advertiser,13901375,496,JISC2,Wrexham Advertiser,WRWA,29,Aug,1857,29,Dec,1900
"York Herald, The",13901440,186,JISC2,York Herald,YOHD,3,Jan,1801,2,Nov,1811
"York Herald, County and General Advertiser, The",13901441,497,JISC2,York Herald,YOHD,9,Nov,1811,24,Jul,1813
"York Herald and General Advertiser, The",13901442,498,JISC2,York Herald,YOHD,31,Jul,1813,21,Oct,1854
"York Herald, The",13901443,499,JISC2,York Herald,YOHD,28,Oct,1854,31,Dec,1889
"Yorkshire Herald, and the York Herald, The",13901444,500,JISC2,York Herald,YOHD,1,Jan,1890,29,Sep,1900
